Date,ens,flag,pct_mvg,pct_svm,pct_ae,pct_if,Y
2022-07-05,0.9899193548387097,1,0.9879032258064516,0.9919354838709677,0.9973118279569892,0.9623655913978495,1.0
2022-07-12,0.9280913978494624,0,0.9865591397849462,0.9059139784946236,0.9381720430107527,0.918010752688172,1.0
2022-07-19,0.928763440860215,0,0.9650537634408602,0.8844086021505376,0.9422043010752689,0.9153225806451613,1.0
2022-07-26,0.9422043010752689,0,0.9448924731182796,0.9422043010752689,0.9422043010752689,0.8991935483870968,1.0
2022-08-02,0.969758064516129,1,0.9865591397849462,0.956989247311828,0.9744623655913979,0.9650537634408602,1.0
2022-08-09,0.9220430107526881,0,0.9368279569892473,0.9045698924731183,0.946236559139785,0.907258064516129,1.0
2022-08-16,0.8004032258064516,0,0.8696236559139785,0.7204301075268817,0.8454301075268817,0.7553763440860215,1.0
2022-08-23,0.9946236559139785,1,0.9959677419354839,0.989247311827957,0.9973118279569892,0.9932795698924731,1.0
2022-08-30,0.8850806451612903,0,0.9422043010752689,0.8561827956989247,0.9059139784946236,0.864247311827957,1.0
2022-09-06,0.915994623655914,0,0.9166666666666666,0.9153225806451613,0.8844086021505376,0.928763440860215,1.0
2022-09-13,0.8030913978494624,0,0.9086021505376344,0.7553763440860215,0.8454301075268817,0.760752688172043,1.0
2022-09-20,0.9596774193548387,1,0.946236559139785,0.9556451612903226,0.978494623655914,0.9637096774193549,1.0
2022-09-27,1.0,1,1.0,1.0,1.0,0.9973118279569892,1.0
2022-10-04,0.9952956989247312,1,0.9959677419354839,0.9946236559139785,0.9973118279569892,0.9905913978494624,1.0
2022-10-11,0.9966397849462365,1,0.9959677419354839,0.9932795698924731,0.9973118279569892,0.9986559139784946,1.0
2022-10-18,0.9939516129032258,1,1.0,0.989247311827957,0.9986559139784946,0.9448924731182796,1.0
2022-10-25,0.928763440860215,0,0.9731182795698925,0.8776881720430108,0.9422043010752689,0.9153225806451613,0.0
2022-11-01,0.7762096774193548,0,0.8951612903225806,0.7580645161290323,0.7943548387096774,0.7553763440860215,0.0
2022-11-08,0.9737903225806452,1,0.9865591397849462,0.9610215053763441,0.9879032258064516,0.9583333333333334,0.0
2022-11-15,0.9946236559139785,1,0.9959677419354839,0.9932795698924731,0.9973118279569892,0.9905913978494624,0.0
2022-11-22,0.9038978494623655,0,0.907258064516129,0.9045698924731183,0.9032258064516129,0.8346774193548387,0.0
2022-11-29,0.8844086021505376,0,0.8897849462365591,0.8790322580645161,0.9018817204301075,0.8373655913978495,0.0
2022-12-06,0.926747311827957,0,0.9086021505376344,0.9543010752688172,0.9126344086021505,0.9408602150537635,0.0
2022-12-13,0.8178763440860215,0,0.9139784946236559,0.771505376344086,0.864247311827957,0.7231182795698925,0.0
2022-12-20,0.9879032258064516,1,0.9852150537634409,0.9758064516129032,0.9959677419354839,0.9905913978494624,0.0
2022-12-27,0.9529569892473119,0,0.9381720430107527,0.928763440860215,0.9811827956989247,0.967741935483871,0.0
2023-01-03,0.7755376344086021,0,0.853494623655914,0.6747311827956989,0.8024193548387096,0.7486559139784946,0.0
2023-01-10,0.9294354838709677,0,0.9314516129032258,0.9395161290322581,0.9274193548387096,0.9206989247311828,0.0
2023-01-17,0.8817204301075269,0,0.907258064516129,0.9059139784946236,0.8575268817204301,0.8104838709677419,0.0
2023-01-24,0.8084677419354839,0,0.8279569892473119,0.7983870967741935,0.8185483870967742,0.5698924731182796,0.0
2023-01-31,0.564516129032258,0,0.6276881720430108,0.5013440860215054,0.7473118279569892,0.4905913978494624,0.0
2023-02-07,0.8333333333333333,0,0.8897849462365591,0.7983870967741935,0.7943548387096774,0.8682795698924731,0.0
2023-02-14,0.887768817204301,0,0.8991935483870968,0.8763440860215054,0.9354838709677419,0.8481182795698925,0.0
2023-02-21,0.8575268817204301,0,0.8696236559139785,0.831989247311828,0.8454301075268817,0.907258064516129,0.0
2023-02-28,0.8393817204301075,0,0.8709677419354839,0.8077956989247311,0.8776881720430108,0.7647849462365591,0.0
2023-03-07,0.8057795698924731,0,0.8293010752688172,0.782258064516129,0.864247311827957,0.6801075268817204,1.0
2023-03-14,0.9724462365591398,1,0.9502688172043011,0.9838709677419355,0.9744623655913979,0.9704301075268817,1.0
2023-03-21,0.7990591397849462,0,0.8494623655913979,0.7876344086021505,0.8104838709677419,0.7876344086021505,1.0
2023-03-28,0.8810483870967742,0,0.8736559139784946,0.8481182795698925,0.946236559139785,0.8884408602150538,1.0
2023-04-04,0.967741935483871,1,0.9717741935483871,0.9489247311827957,0.9771505376344086,0.9637096774193549,1.0
2023-04-11,0.6633064516129032,0,0.7244623655913979,0.5120967741935484,0.7311827956989247,0.6021505376344086,1.0
2023-04-18,0.8178763440860215,0,0.7432795698924731,0.7903225806451613,0.8454301075268817,0.885752688172043,1.0
2023-04-25,0.8299731182795699,0,0.8104838709677419,0.8521505376344086,0.8494623655913979,0.7889784946236559,1.0
2023-05-02,0.6498655913978495,0,0.6626344086021505,0.6370967741935484,0.6948924731182796,0.44086021505376344,0.0
