model,hyperparam,tau,F2_w,AUC_PR_w
svm,0.1,0.8425,0.7161759940996894,0.7290351965569865
svm,0.1,0.845,0.7174353051395707,0.7290351965569865
svm,0.1,0.8475,0.7193509193603934,0.7290351965569865
svm,0.1,0.85,0.7193509193603934,0.7290351965569865
svm,0.1,0.8525,0.7193509193603934,0.7290351965569865
svm,0.1,0.855,0.7167915657357915,0.7290351965569865
svm,0.1,0.8575,0.7167915657357915,0.7290351965569865
svm,0.1,0.86,0.7167915657357915,0.7290351965569865
svm,0.1,0.8625,0.7184192405955778,0.7290351965569865
svm,0.1,0.865,0.7197559349338721,0.7290351965569865
svm,0.1,0.8675,0.7200824442230614,0.7290351965569865
svm,0.1,0.87,0.7207599509981292,0.7290351965569865
svm,0.1,0.8725,0.717747385326431,0.7290351965569865
svm,0.1,0.875,0.7073351534088228,0.7290351965569865
svm,0.1,0.8775,0.7091493859774738,0.7290351965569865
svm,0.1,0.88,0.7048971274310659,0.7290351965569865
svm,0.1,0.8825,0.6980796343587743,0.7290351965569865
svm,0.1,0.885,0.6980796343587743,0.7290351965569865
svm,0.1,0.8875,0.7025512548215186,0.7290351965569865
svm,0.1,0.89,0.7046728989928699,0.7290351965569865
svm,0.1,0.8925,0.7046728989928699,0.7290351965569865
svm,0.1,0.895,0.7079000628096866,0.7290351965569865
svm,0.1,0.8975,0.7079000628096866,0.7290351965569865
svm,0.1,0.9,0.7079000628096866,0.7290351965569865
svm,0.1,0.9025,0.7079000628096866,0.7290351965569865
svm,0.1,0.905,0.7079000628096866,0.7290351965569865
svm,0.1,0.9075,0.7079000628096866,0.7290351965569865
svm,0.1,0.91,0.7128221757188156,0.7290351965569865
svm,0.1,0.9125,0.7072329181593096,0.7290351965569865
svm,0.1,0.915,0.7048169875222,0.7290351965569865
svm,0.1,0.9175,0.7051327337885003,0.7290351965569865
svm,0.1,0.92,0.7054579053164813,0.7290351965569865
svm,0.1,0.9225,0.7076801113838151,0.7290351965569865
svm,0.1,0.925,0.7083815704186075,0.7290351965569865
svm,0.1,0.9275,0.7091282848749993,0.7290351965569865
svm,0.1,0.93,0.7104726095576088,0.7290351965569865
svm,0.1,0.9325,0.7049984911508856,0.7290351965569865
svm,0.1,0.935,0.6969885887908335,0.7290351965569865
svm,0.1,0.9375,0.6919291258812105,0.7290351965569865
svm,0.1,0.94,0.6930158286298043,0.7290351965569865
svm,0.1,0.9425,0.6939379847351737,0.7290351965569865
svm,0.1,0.945,0.6963189190919213,0.7290351965569865
svm,0.1,0.9475,0.6963189190919213,0.7290351965569865
svm,0.1,0.95,0.6963189190919213,0.7290351965569865
svm,0.1,0.9525,0.6884492167777745,0.7290351965569865
svm,0.1,0.955,0.6800206752418885,0.7290351965569865
svm,0.1,0.9575,0.6807830156268703,0.7290351965569865
svm,0.1,0.96,0.6829752113733133,0.7290351965569865
svm,0.1,0.9625,0.6688530630805702,0.7290351965569865
svm,0.1,0.965,0.670908539245096,0.7290351965569865
svm,0.1,0.9675,0.6719933585548796,0.7290351965569865
svm,0.1,0.97,0.6729770650868502,0.7290351965569865
svm,0.1,0.9725,0.6740682283692057,0.7290351965569865
svm,0.1,0.975,0.6756469597007078,0.7290351965569865
svm,0.1,0.9775,0.6667459122002323,0.7290351965569865
svm,0.1,0.98,0.6619758170276604,0.7290351965569865
svm,0.1,0.9825,0.6560735413353448,0.7290351965569865
svm,0.1,0.985,0.6452470833001807,0.7290351965569865
svm,0.1,0.9875,0.6452470833001807,0.7290351965569865
svm,0.1,0.99,0.6472635625614324,0.7290351965569865
svm,0.1,0.9925,0.6465002234233004,0.7290351965569865
svm,0.1,0.995,0.6357242576754772,0.7290351965569865
svm,0.1,0.9975,0.6294311680490542,0.7290351965569865
svm,0.1,1.0,0.6294311680490542,0.7290351965569865
svm,0.15,0.8,0.7069651219076143,0.7271242075807844
svm,0.15,0.8025,0.7072025388116979,0.7271242075807844
svm,0.15,0.805,0.7090507140385467,0.7271242075807844
svm,0.15,0.8075,0.709297486605898,0.7271242075807844
svm,0.15,0.81,0.7098058380946415,0.7271242075807844
svm,0.15,0.8125,0.7117111840355693,0.7271242075807844
svm,0.15,0.815,0.713126408887048,0.7271242075807844
svm,0.15,0.8175,0.7099899166741473,0.7271242075807844
svm,0.15,0.82,0.7099899166741473,0.7271242075807844
svm,0.15,0.8225,0.7099899166741473,0.7271242075807844
svm,0.15,0.825,0.7081145296289241,0.7271242075807844
svm,0.15,0.8275,0.7032412352819455,0.7271242075807844
svm,0.15,0.83,0.703770335811046,0.7271242075807844
svm,0.15,0.8325,0.7046509106090426,0.7271242075807844
svm,0.15,0.835,0.7060736070980357,0.7271242075807844
svm,0.15,0.8375,0.7063510380870771,0.7271242075807844
svm,0.15,0.84,0.7075054392414784,0.7271242075807844
svm,0.15,0.8425,0.7075054392414784,0.7271242075807844
svm,0.15,0.845,0.702830672992638,0.7271242075807844
svm,0.15,0.8475,0.7037220028279222,0.7271242075807844
svm,0.15,0.85,0.7037220028279222,0.7271242075807844
svm,0.15,0.8525,0.7037220028279222,0.7271242075807844
svm,0.15,0.855,0.7043940458386749,0.7271242075807844
svm,0.15,0.8575,0.7046777820774673,0.7271242075807844
svm,0.15,0.86,0.7069129602666686,0.7271242075807844
svm,0.15,0.8625,0.7091757457062995,0.7271242075807844
svm,0.15,0.865,0.7097909788796721,0.7271242075807844
svm,0.15,0.8675,0.7101097141381665,0.7271242075807844
svm,0.15,0.87,0.7073859764746697,0.7271242075807844
svm,0.15,0.8725,0.7092735725467303,0.7271242075807844
svm,0.15,0.875,0.7112712691680828,0.7271242075807844
svm,0.15,0.8775,0.7122782381967321,0.7271242075807844
svm,0.15,0.88,0.7140075257612819,0.7271242075807844
svm,0.15,0.8825,0.7146488597359492,0.7271242075807844
svm,0.15,0.885,0.7156668188157492,0.7271242075807844
svm,0.15,0.8875,0.7048741668040738,0.7271242075807844
svm,0.15,0.89,0.7053078462043741,0.7271242075807844
svm,0.15,0.8925,0.7063483320933449,0.7271242075807844
svm,0.15,0.895,0.7072542627340985,0.7271242075807844
svm,0.15,0.8975,0.7072542627340985,0.7271242075807844
svm,0.15,0.9,0.7014992240790944,0.7271242075807844
svm,0.15,0.9025,0.7001786221735071,0.7271242075807844
svm,0.15,0.905,0.7008010933842135,0.7271242075807844
svm,0.15,0.9075,0.6982240162434781,0.7271242075807844
svm,0.15,0.91,0.7011265608424703,0.7271242075807844
svm,0.15,0.9125,0.7011265608424703,0.7271242075807844
svm,0.15,0.915,0.7024882166158908,0.7271242075807844
svm,0.15,0.9175,0.7056597690684462,0.7271242075807844
svm,0.15,0.92,0.7056597690684462,0.7271242075807844
