model,hyperparam,tau,F2_w,AUC_PR_w
if,0.05,0.965,0.40526896144257146,0.6522502085986904
if,0.05,0.9675,0.39687855655086823,0.6522502085986904
if,0.05,0.97,0.357041763166565,0.6522502085986904
if,0.05,0.9725,0.32759371835644013,0.6522502085986904
if,0.05,0.975,0.32759371835644013,0.6522502085986904
if,0.05,0.9775,0.32969085706368284,0.6522502085986904
if,0.05,0.98,0.32969085706368284,0.6522502085986904
if,0.05,0.9825,0.3098401051340779,0.6522502085986904
if,0.05,0.985,0.25961553932757303,0.6522502085986904
if,0.05,0.9875,0.25961553932757303,0.6522502085986904
if,0.05,0.99,0.23413470562101005,0.6522502085986904
if,0.05,0.9925,0.22074093405730388,0.6522502085986904
if,0.05,0.995,0.21179770988200106,0.6522502085986904
if,0.05,0.9975,0.19522342698308365,0.6522502085986904
if,0.05,1.0,0.19522342698308365,0.6522502085986904
if,0.1,0.8,0.6683406459150073,0.6522502085986904
if,0.1,0.8025,0.6683406459150073,0.6522502085986904
if,0.1,0.805,0.6638095469501518,0.6522502085986904
if,0.1,0.8075,0.6640570545486352,0.6522502085986904
if,0.1,0.81,0.6640570545486352,0.6522502085986904
if,0.1,0.8125,0.6640570545486352,0.6522502085986904
if,0.1,0.815,0.6633190847116669,0.6522502085986904
if,0.1,0.8175,0.6642391008119487,0.6522502085986904
if,0.1,0.82,0.6552856915123773,0.6522502085986904
if,0.1,0.8225,0.6554981816847069,0.6522502085986904
if,0.1,0.825,0.6566309375991762,0.6522502085986904
if,0.1,0.8275,0.6582618488951927,0.6522502085986904
if,0.1,0.83,0.6582618488951927,0.6522502085986904
if,0.1,0.8325,0.6526315099121498,0.6522502085986904
if,0.1,0.835,0.6475308481915373,0.6522502085986904
if,0.1,0.8375,0.6493044613575555,0.6522502085986904
if,0.1,0.84,0.6450076313624866,0.6522502085986904
if,0.1,0.8425,0.6452480535438372,0.6522502085986904
if,0.1,0.845,0.6426633659639759,0.6522502085986904
if,0.1,0.8475,0.6438159728506975,0.6522502085986904
if,0.1,0.85,0.6438159728506975,0.6522502085986904
if,0.1,0.8525,0.6415700538126168,0.6522502085986904
if,0.1,0.855,0.6353626650191332,0.6522502085986904
if,0.1,0.8575,0.6353626650191332,0.6522502085986904
if,0.1,0.86,0.627120812902075,0.6522502085986904
if,0.1,0.8625,0.6086423914504498,0.6522502085986904
if,0.1,0.865,0.6095247785397334,0.6522502085986904
if,0.1,0.8675,0.6102925446474664,0.6522502085986904
if,0.1,0.87,0.6102925446474664,0.6522502085986904
if,0.1,0.8725,0.6110093905256025,0.6522502085986904
