mode,fold,tau,n_pos,F1,F2,precision,recall,coverage
soft_median,1,0.865,53,0.5795454545454546,0.7611940298507462,0.4146341463414634,0.9622641509433962,0.803921568627451
soft_median,1,0.8675,53,0.5828571428571429,0.7634730538922155,0.4180327868852459,0.9622641509433962,0.7973856209150327
soft_median,1,0.87,53,0.5828571428571429,0.7634730538922155,0.4180327868852459,0.9622641509433962,0.7973856209150327
soft_median,1,0.8725,53,0.5828571428571429,0.7634730538922155,0.4180327868852459,0.9622641509433962,0.7973856209150327
soft_median,1,0.875,53,0.5828571428571429,0.7634730538922155,0.4180327868852459,0.9622641509433962,0.7973856209150327
soft_median,1,0.8775,53,0.5780346820809249,0.7530120481927711,0.4166666666666667,0.9433962264150944,0.7843137254901961
soft_median,1,0.88,53,0.5780346820809249,0.7530120481927711,0.4166666666666667,0.9433962264150944,0.7843137254901961
soft_median,1,0.8825,53,0.5780346820809249,0.7530120481927711,0.4166666666666667,0.9433962264150944,0.7843137254901961
soft_median,1,0.885,53,0.5780346820809249,0.7530120481927711,0.4166666666666667,0.9433962264150944,0.7843137254901961
soft_median,1,0.8875,53,0.5780346820809249,0.7530120481927711,0.4166666666666667,0.9433962264150944,0.7843137254901961
soft_median,1,0.89,53,0.5730994152046783,0.7424242424242424,0.4152542372881356,0.9245283018867925,0.7712418300653595
soft_median,1,0.8925,53,0.5764705882352941,0.7446808510638298,0.4188034188034188,0.9245283018867925,0.7647058823529411
soft_median,1,0.895,53,0.5764705882352941,0.7446808510638298,0.4188034188034188,0.9245283018867925,0.7647058823529411
soft_median,1,0.8975,53,0.5764705882352941,0.7446808510638298,0.4188034188034188,0.9245283018867925,0.7647058823529411
soft_median,1,0.9,53,0.5764705882352941,0.7446808510638298,0.4188034188034188,0.9245283018867925,0.7647058823529411
soft_median,1,0.9025,53,0.5764705882352941,0.7446808510638298,0.4188034188034188,0.9245283018867925,0.7647058823529411
soft_median,1,0.905,53,0.5798816568047337,0.7469512195121951,0.4224137931034483,0.9245283018867925,0.7581699346405228
soft_median,1,0.9075,53,0.5798816568047337,0.7469512195121951,0.4224137931034483,0.9245283018867925,0.7581699346405228
soft_median,1,0.91,53,0.5833333333333334,0.7492354740061162,0.4260869565217391,0.9245283018867925,0.7516339869281046
soft_median,1,0.9125,53,0.5833333333333334,0.7492354740061162,0.4260869565217391,0.9245283018867925,0.7516339869281046
soft_median,1,0.915,53,0.5833333333333334,0.7492354740061162,0.4260869565217391,0.9245283018867925,0.7516339869281046
soft_median,1,0.9175,53,0.5868263473053892,0.7515337423312883,0.4298245614035088,0.9245283018867925,0.7450980392156863
soft_median,1,0.92,53,0.5868263473053892,0.7515337423312883,0.4298245614035088,0.9245283018867925,0.7450980392156863
soft_median,1,0.9225,53,0.5903614457831325,0.7538461538461538,0.4336283185840708,0.9245283018867925,0.738562091503268
soft_median,1,0.925,53,0.5903614457831325,0.7538461538461538,0.4336283185840708,0.9245283018867925,0.738562091503268
soft_median,1,0.9275,53,0.593939393939394,0.7561728395061729,0.4375,0.9245283018867925,0.7320261437908496
soft_median,1,0.93,53,0.588957055214724,0.7453416149068323,0.43636363636363634,0.9056603773584906,0.7189542483660131
soft_median,1,0.9325,53,0.5925925925925926,0.7476635514018691,0.44036697247706424,0.9056603773584906,0.7124183006535948
soft_median,1,0.935,53,0.5925925925925926,0.7476635514018691,0.44036697247706424,0.9056603773584906,0.7124183006535948
soft_median,1,0.9375,53,0.5925925925925926,0.7476635514018691,0.44036697247706424,0.9056603773584906,0.7124183006535948
soft_median,1,0.94,53,0.5962732919254659,0.75,0.4444444444444444,0.9056603773584906,0.7058823529411765
soft_median,1,0.9425,53,0.5962732919254659,0.75,0.4444444444444444,0.9056603773584906,0.7058823529411765
soft_median,1,0.945,53,0.5911949685534591,0.7389937106918238,0.44339622641509435,0.8867924528301887,0.6928104575163399
soft_median,1,0.9475,53,0.5949367088607594,0.7413249211356467,0.44761904761904764,0.8867924528301887,0.6862745098039216
soft_median,1,0.95,53,0.5987261146496815,0.7436708860759493,0.4519230769230769,0.8867924528301887,0.6797385620915033
soft_median,1,0.9525,53,0.6064516129032258,0.7484076433121019,0.46078431372549017,0.8867924528301887,0.6666666666666666
soft_median,1,0.955,53,0.6143790849673203,0.7532051282051282,0.47,0.8867924528301887,0.6535947712418301
soft_median,1,0.9575,53,0.609271523178808,0.7419354838709677,0.46938775510204084,0.8679245283018868,0.6405228758169934
soft_median,1,0.96,53,0.609271523178808,0.7419354838709677,0.46938775510204084,0.8679245283018868,0.6405228758169934
soft_median,1,0.9625,53,0.6174496644295302,0.7467532467532467,0.4791666666666667,0.8679245283018868,0.6274509803921569
soft_median,1,0.965,53,0.6122448979591837,0.7352941176470589,0.4787234042553192,0.8490566037735849,0.6143790849673203
soft_median,1,0.9675,53,0.6428571428571429,0.7525083612040134,0.5172413793103449,0.8490566037735849,0.5686274509803921
soft_median,1,0.97,53,0.6474820143884892,0.7550335570469798,0.5232558139534884,0.8490566037735849,0.5620915032679739
soft_median,1,0.9725,53,0.6518518518518519,0.7482993197278912,0.5365853658536586,0.8301886792452831,0.5359477124183006
soft_median,1,0.975,53,0.6515151515151515,0.738831615120275,0.5443037974683544,0.8113207547169812,0.5163398692810458
soft_median,1,0.9775,53,0.6564885496183206,0.7413793103448276,0.5512820512820513,0.8113207547169812,0.5098039215686274
soft_median,1,0.98,53,0.6511627906976745,0.7291666666666666,0.5526315789473685,0.7924528301886793,0.49673202614379086
soft_median,1,0.9825,53,0.6451612903225806,0.7067137809187279,0.5633802816901409,0.7547169811320755,0.46405228758169936
soft_median,1,0.985,53,0.6554621848739496,0.7014388489208633,0.5909090909090909,0.7358490566037735,0.43137254901960786
soft_median,1,0.9875,53,0.6551724137931034,0.6909090909090909,0.6031746031746031,0.7169811320754716,0.4117647058823529
soft_median,1,0.99,53,0.6666666666666666,0.6959706959706959,0.6229508196721312,0.7169811320754716,0.39869281045751637
soft_median,1,0.9925,53,0.672566371681416,0.6985294117647058,0.6333333333333333,0.7169811320754716,0.39215686274509803
soft_median,1,0.995,53,0.6846846846846847,0.7037037037037037,0.6551724137931034,0.7169811320754716,0.3790849673202614
soft_median,1,0.9975,53,0.7169811320754716,0.7169811320754716,0.7169811320754716,0.7169811320754716,0.3464052287581699
soft_median,1,1.0,53,0.7307692307692307,0.7224334600760456,0.7450980392156863,0.7169811320754716,0.3333333333333333
soft_median,2,0.8,64,0.6138613861386139,0.7868020304568528,0.4492753623188406,0.96875,0.9078947368421053
soft_median,2,0.8025,64,0.6138613861386139,0.7868020304568528,0.4492753623188406,0.96875,0.9078947368421053
soft_median,2,0.805,64,0.6138613861386139,0.7868020304568528,0.4492753623188406,0.96875,0.9078947368421053
soft_median,2,0.8075,64,0.6138613861386139,0.7868020304568528,0.4492753623188406,0.96875,0.9078947368421053
soft_median,2,0.81,64,0.6138613861386139,0.7868020304568528,0.4492753623188406,0.96875,0.9078947368421053
soft_median,2,0.8125,64,0.6169154228855721,0.7888040712468194,0.45255474452554745,0.96875,0.9013157894736842
soft_median,2,0.815,64,0.62,0.7908163265306123,0.45588235294117646,0.96875,0.8947368421052632
soft_median,2,0.8175,64,0.62,0.7908163265306123,0.45588235294117646,0.96875,0.8947368421052632
soft_median,2,0.82,64,0.62,0.7908163265306123,0.45588235294117646,0.96875,0.8947368421052632
soft_median,2,0.8225,64,0.62,0.7908163265306123,0.45588235294117646,0.96875,0.8947368421052632
soft_median,2,0.825,64,0.62,0.7908163265306123,0.45588235294117646,0.96875,0.8947368421052632
soft_median,2,0.8275,64,0.6231155778894473,0.7928388746803069,0.45925925925925926,0.96875,0.8881578947368421
soft_median,2,0.83,64,0.6231155778894473,0.7928388746803069,0.45925925925925926,0.96875,0.8881578947368421
soft_median,2,0.8325,64,0.6294416243654822,0.7969151670951157,0.46616541353383456,0.96875,0.875
soft_median,2,0.835,64,0.6294416243654822,0.7969151670951157,0.46616541353383456,0.96875,0.875
soft_median,2,0.8375,64,0.6391752577319587,0.8031088082901554,0.47692307692307695,0.96875,0.8552631578947368
soft_median,2,0.84,64,0.6391752577319587,0.8031088082901554,0.47692307692307695,0.96875,0.8552631578947368
soft_median,2,0.8425,64,0.6321243523316062,0.7922077922077922,0.4728682170542636,0.953125,0.8486842105263158
soft_median,2,0.845,64,0.6354166666666666,0.7942708333333334,0.4765625,0.953125,0.8421052631578947
soft_median,2,0.8475,64,0.6354166666666666,0.7942708333333334,0.4765625,0.953125,0.8421052631578947
soft_median,2,0.85,64,0.6387434554973822,0.7963446475195822,0.48031496062992124,0.953125,0.8355263157894737
soft_median,2,0.8525,64,0.6387434554973822,0.7963446475195822,0.48031496062992124,0.953125,0.8355263157894737
soft_median,2,0.855,64,0.6387434554973822,0.7963446475195822,0.48031496062992124,0.953125,0.8355263157894737
soft_median,2,0.8575,64,0.6387434554973822,0.7963446475195822,0.48031496062992124,0.953125,0.8355263157894737
soft_median,2,0.86,64,0.6387434554973822,0.7963446475195822,0.48031496062992124,0.953125,0.8355263157894737
