Date,EWS,MSCI_BH,60_40,Butterfly,Permanent,RiskParity
2020-06-16,1.3201334041440993,1.1326176840667415,1.1646243555228073,1.225559800736357,1.1789478613821012,1.218728328868156
2020-06-23,1.3269773552753819,1.1365419858196857,1.1674586129829176,1.2336380651265797,1.1864651143889533,1.2283047154323277
2020-06-30,1.2962959537528056,1.1190325433672315,1.1574988460291364,1.2331504867253196,1.1854752950828769,1.2286837666417156
2020-07-07,1.3288614205838525,1.1377840825479544,1.1741377976748855,1.2470748846637851,1.1956679744520222,1.2421486598295446
2020-07-14,1.3353943402848971,1.1415227283214775,1.179061807557653,1.2538706126125845,1.2005305243591302,1.249106251888308
2020-07-21,1.3713215171032962,1.1620049007012203,1.1967224148817612,1.2717640080669301,1.2145080118684177,1.2675742209759702
2020-07-28,1.3396923148245263,1.1441446910708353,1.1869008518162958,1.2866474438860145,1.2279566661225612,1.2877251950409472
2020-08-04,1.3448744339140473,1.147101503380228,1.191227303672371,1.2995507120489853,1.2386689097483403,1.3024318024169892
2020-08-11,1.3746544553831077,1.1640425535833194,1.1991695985658535,1.291425176793243,1.2326283186828324,1.2924174186240782
2020-08-18,1.3929267798881662,1.1743645709791584,1.2014476110717838,1.2995469148747427,1.2430210352907578,1.3037449728264952
2020-08-25,1.4144398100342865,1.1864628819133491,1.2087536282840852,1.2880709250651574,1.232127350631216,1.2889867233787344
2020-09-01,1.4202296098382394,1.1897081590114942,1.2114182532286997,1.2997241216654094,1.2428465188235693,1.3024756165770117
2020-09-08,1.3757775445158344,1.1648918773017796,1.194923200192728,1.285227024982085,1.2298454703791228,1.2868567122045993
2020-09-15,1.4137972487206,1.1863605055679798,1.209527174142585,1.2961817269381606,1.2394393722659376,1.2983423377253107
2020-09-22,1.371291424796325,1.1625884365100136,1.195085566912268,1.2801084880267228,1.2240107526945487,1.2802355412921216
2020-09-29,1.3875116618466028,1.1717626131092944,1.1985465681416685,1.2790565504074183,1.2244165935775686,1.2793839804017366
2020-10-06,1.3975283046014335,1.1774083133228601,1.2018480394473987,1.2817861057572415,1.2271387874914745,1.2824205110623723
2020-10-13,1.4410369289935396,1.201852159304035,1.2191353734644443,1.2894132503285058,1.2329676519920976,1.289387865090343
2020-10-20,1.4067879851895395,1.1828159540365253,1.2053341353511497,1.2843527771744834,1.229534066396146,1.2851429631164553
2020-10-27,1.368367616431321,1.161287012053651,1.193912895042762,1.2808035897174335,1.2250309897695724,1.2812739654387806
2020-11-03,1.3666875993932468,1.16034309950145,1.190367517312163,1.2766285792765617,1.2229432226722663,1.2775176139158058
2020-11-10,1.4968027768875516,1.2339964950950086,1.2385544715819916,1.2961658627261794,1.239833218305069,1.2960300145080788
2020-11-17,1.538715866759286,1.2570387494387614,1.2570129794304834,1.3090819604475747,1.249325892513825,1.3084119677639474
2020-11-24,1.5667523125093967,1.2723140866768876,1.2690748741131608,1.3026252769871176,1.2413688879935285,1.298419559013175
2020-12-01,1.5763049228330417,1.2774918917074582,1.2730287501474153,1.3064838061499409,1.244527738958768,1.3024099563091969
2020-12-08,1.586725252342887,1.283127489374274,1.2768653812151323,1.319322369298623,1.256476171577566,1.3171729627608262
2020-12-15,1.5926199153271183,1.2863107773491729,1.278407761315075,1.315719111513422,1.2532688805962853,1.3128881101227186
2020-12-22,1.5833407230186483,1.2813207042041757,1.2768071454144234,1.3192836451953962,1.2558263138435948,1.3168417175562224
2020-12-29,1.6362069391325789,1.3098491574229538,1.2950115253769487,1.3301277003196406,1.2654485094651555,1.32784929376497
2021-01-05,1.6231975336404052,1.3029125138658333,1.288881818306194,1.3383543639445648,1.2745103148824015,1.3385676033799088
2021-01-12,1.6876707541321323,1.3374198938186215,1.3041459792100611,1.3214552503474954,1.2616464669409984,1.3187920452618287
2021-01-19,1.6863389702381721,1.336722386102817,1.3077477435307978,1.3269490596389566,1.2644714443805445,1.3239734961134788
2021-01-26,1.691530986829005,1.3394715473243972,1.3093377608964458,1.3293833924829856,1.2668093516040906,1.3266621363136926
2021-02-02,1.6809456490019399,1.333887326295148,1.3034510405757518,1.3215478097586972,1.2609245780648664,1.3186324793394675
2021-02-09,1.7460339524158184,1.368322672307613,1.323227859901874,1.330043323052136,1.2692815822023016,1.3272631147193095
2021-02-16,1.7920945218071025,1.392389902779062,1.3328987623015118,1.3230363933819163,1.2651708300303206,1.3196077562182156
2021-02-23,1.7488297087195925,1.3699818516773057,1.3154627183550311,1.3139373373390746,1.2591796654321106,1.3112011899175477
2021-03-02,1.7275451436435187,1.3588687191132336,1.3086757318464504,1.2980331094689355,1.244170084353656,1.2934506718484475
2021-03-09,1.7459996124584742,1.3685485425829362,1.3065942573500327,1.2870755032074468,1.2382291809512371,1.2830639857495576
2021-03-16,1.8078645358538021,1.4008769455885308,1.3231694158740193,1.2946222142332895,1.246641535593655,1.2919775669263176
2021-03-23,1.7808399601203648,1.3869166458125857,1.3169927413127813,1.2932903107147538,1.2443375606691547,1.2895772132710843
2021-03-30,1.809553814792805,1.4018257608117433,1.32483693353898,1.288034196550218,1.2396650020976905,1.2853398683505362
2021-04-06,1.8375961729956622,1.4163097023798932,1.3378191658509544,1.3081838820045117,1.2562698279227862,1.303471819404133
2021-04-13,1.8568088125687203,1.426182591670697,1.3450415675525973,1.3123416302145472,1.2593083263050198,1.3078741973130512
2021-04-20,1.8738477174208596,1.43490906771268,1.3494354470901386,1.3206569053608521,1.2676070392278442,1.3133049634320806
