cluster_id,members,n_members,mean_drop,std_drop,drop_fold_1,drop_fold_2,drop_fold_3,drop_fold_4,drop_fold_5
11,DXY|GBP,2,0.0011309521627354206,0.0054283539249560375,0.0037909696335592714,0.0013278476519532345,0.0006436886246069465,-0.01049871614042583,-0.004920885696553706
10,jpy_strength,1,0.0008603230152649455,0.002215003791985403,0.002863170453668579,-0.00012090598355600779,0.00206438780412734,-0.0007500597927680069,-0.004082436952776191
13,XAUBGNL,1,0.0007302271843957809,0.001841291171140436,0.0014958252266097816,0.00030607924637210957,-0.001984879295786444,-0.001156624443208705,0.002541477356492819
9,JPY,1,0.00047804379358686413,0.0014379841509365979,0.0018059397717804238,-7.565527964369379e-05,-0.0003036969015575692,-0.0033892770635995427,0.0013605344276951953
6,equity_bond_corr_13w,1,0.0004432918621263524,0.0009810865308979557,0.0011537042853568768,0.00010280273211690227,-0.003410144052863457,-0.0032585773490104606,0.005254126833915481
31,de_term_10y_2y_chg4w,1,0.0002675939950921033,0.0027465111556706522,0.002772586599652638,-0.000566933566654454,-0.0005532924321617538,-0.0048247692918200425,-0.004197312399291148
27,LMBITR,1,-4.817196064388182e-05,0.0058705668757392145,-0.00015315559280415503,0.0006394604251784896,-0.0016080614786597076,-0.0008160700787991082,-0.004655768622402778
36,EONIA,1,-7.65345181129156e-05,0.0013115237012316194,0.0015279881982908194,-0.0013423807640939034,-0.00031253899503272067,0.0005455830566073489,-0.0017056530214425436
5,ECSURPUS,1,-0.0001370569442156675,0.002600713448681792,-0.00016959473480415154,0.00087621879909065,0.00022582685179978746,0.002946946862258215,-0.0159188819987464
29,GTJPY2YR,1,-0.00037849559883399705,0.0030031576645216133,0.0018861667178743323,7.809018972500526e-05,-0.0002989599786877453,-0.015397943411875864,-0.00024735999269923645
28,GTJPY10YR|GTJPY30YR,2,-0.0015063203220752382,0.0014060235360986188,0.000633080913934958,2.2278329316316457e-05,0.0018578045390759922,-0.02161320502315056,-0.004319317306933429
32,USGG3M,1,-0.0023359829472268745,0.004952493255062013,-0.005892889447233834,0.0002359698698025492,-1.3476602762317255e-05,-0.0003467608558300389,-0.0024403445126288253
